model_size,thinking,thinking_budget,difficulty,num_puzzles,f1_mean,f1_std,recall_mean,precision_mean,car_mean
32b,True,16384,hard,24,0.27185147045469843,0.13236757211290812,0.1705840998112226,0.7917527634794848,1.0
32b,True,16384,medium,30,0.349702122533366,0.14148058717788511,0.2395619254646184,0.7622340487742966,1.0
4b,False,4096,easy,4,0.10357142857142856,0.11973610438743007,0.06534090909090909,0.25,1.0
4b,False,4096,hard,24,0.03285917005439785,0.05572117491779357,0.017822242061048613,0.35803571428571423,1.0
4b,False,4096,medium,30,0.05318028332187754,0.06582667179660621,0.02954818397327108,0.35527777777777775,1.0
4b,False,8192,easy,4,0.0734632683658171,0.09794592486393448,0.04261363636363637,0.4,1.0
4b,False,8192,hard,24,0.031625185581239244,0.05050184495778417,0.017483917749583886,0.28553240740740743,1.0
4b,False,8192,medium,30,0.04476359173899314,0.0723513033513736,0.024999630020833944,0.27190476190476187,1.0
4b,False,16384,easy,4,0.11388888888888889,0.09953596037316066,0.06259796238244514,0.75,1.0
4b,False,16384,hard,24,0.03721823774161741,0.05782981985933434,0.020199963313803703,0.3444444444444444,1.0
4b,False,16384,medium,30,0.049824614802982795,0.06939537510336051,0.028799183101745913,0.3256937017231135,1.0
4b,True,4096,easy,4,0.28690588984706633,0.10869027421939771,0.18194879832810867,0.7111111111111111,1.0
4b,True,4096,hard,24,0.17819595487687087,0.09634908575041626,0.10296077223335522,0.8298678751803751,1.0
4b,True,4096,medium,30,0.18120716821249985,0.1036255913125082,0.10724804853691265,0.7604954304954306,1.0
4b,True,8192,easy,4,0.2068342211026287,0.1475072957895271,0.12702455590386624,0.7472222222222222,1.0
4b,True,8192,hard,24,0.17977672624252558,0.07674526760374294,0.10206721315071234,0.8752119408369409,1.0
4b,True,8192,medium,30,0.1514334922975417,0.09774115669265591,0.08955700587119816,0.7432915232915235,1.0
4b,True,16384,easy,4,0.13323232323232326,0.10327975347970526,0.07719435736677116,0.5089285714285714,1.0
4b,True,16384,hard,24,0.17051965750393527,0.09461297428261209,0.09762195152803614,0.839575066137566,1.0
4b,True,16384,medium,30,0.20806277244262036,0.1061429720581346,0.12541600832675057,0.7621694046694046,1.0
8b,False,4096,easy,4,0.06350806451612903,0.0733512703523001,0.039968652037617555,0.3,1.0
8b,False,4096,hard,24,0.05880950467261422,0.053059264582953944,0.03232695763034474,0.5487929894179894,1.0
8b,False,4096,medium,30,0.05781030149827378,0.055918060694969796,0.03201139985063528,0.4438888888888889,1.0
8b,False,8192,easy,4,0.052258064516129035,0.0635759451190471,0.02860501567398119,0.3333333333333333,1.0
8b,False,8192,hard,24,0.056224303740314126,0.05973468474905645,0.030565968664793487,0.49722222222222223,1.0
8b,False,8192,medium,30,0.03701056670114233,0.03750961671456364,0.019658236096994786,0.38333333333333336,1.0
8b,False,16384,easy,4,0.05309139784946237,0.06408063140354954,0.02860501567398119,0.375,1.0
8b,False,16384,hard,24,0.060913559313689865,0.05539053425624874,0.03334641850828513,0.5109487734487734,1.0
8b,False,16384,medium,30,0.06396655052196418,0.05738870868781432,0.03504144751008976,0.49920634920634915,1.0
8b,True,4096,easy,4,0.3524002408790599,0.14559952513360244,0.2435997910135841,0.6746794871794872,1.0
8b,True,4096,hard,24,0.21482758829377901,0.09690125795506321,0.1267671550443945,0.8236427175765412,1.0
8b,True,4096,medium,30,0.2359975961639801,0.11875923196332941,0.14415541595540365,0.7434613534613536,1.0
8b,True,8192,easy,4,0.2893955114068966,0.15853824112430095,0.18554075235109718,0.775,1.0
8b,True,8192,hard,24,0.19605734526879415,0.10279149005327233,0.11444520143170944,0.8171372608872609,1.0
8b,True,8192,medium,30,0.23304023031220444,0.1360549696069493,0.14613541220891138,0.7230938505938505,1.0
8b,True,16384,easy,4,0.2879679951690821,0.20513904744975986,0.20950888192267503,0.6617647058823529,1.0
8b,True,16384,hard,24,0.2282683131597549,0.08961798778431664,0.13418895345747495,0.8677864959114959,1.0
8b,True,16384,medium,30,0.21693573651283657,0.1150341152740942,0.13325026736011014,0.7034571827954181,1.0
claude-haiku,False,8192,easy,4,0.36513785001179966,0.0967737558525312,0.37611024033437823,0.35930500658761527,1.0
claude-haiku,False,8192,hard,24,0.35642125129696023,0.08065096510362663,0.3115687992062785,0.443951773812506,1.0
claude-haiku,False,8192,medium,30,0.36122851625017477,0.0808718909487964,0.341469188829448,0.3974467083342386,1.0
claude-haiku,False,12288,easy,4,0.35325828277710336,0.09440318215318,0.3742163009404389,0.34281655844155845,1.0
claude-haiku,False,12288,hard,24,0.3535452575390847,0.09332027632479337,0.2901610448543761,0.4889260644475213,1.0
claude-haiku,False,12288,medium,30,0.3843654882485287,0.08051161203017247,0.36455779111474396,0.4226811807302173,1.0
claude-haiku,False,16384,easy,4,0.40652905870297174,0.08260655669570091,0.43825104493207945,0.38507575757575757,1.0
claude-haiku,False,16384,hard,24,0.36617961644160824,0.07851037784914956,0.3196750741950696,0.47086787481770503,1.0
claude-haiku,False,16384,medium,30,0.3762474698940623,0.08576133646050826,0.34449402099906934,0.4423503350855853,1.0
claude-haiku,True,4096,easy,4,0.628482972136223,0.14674617789765482,0.5390216823406478,0.756439393939394,1.0
claude-haiku,True,4096,hard,24,0.5411208829512043,0.10993205133949477,0.4134667188007272,0.7963535448682443,1.0
claude-haiku,True,4096,medium,30,0.6013189659470562,0.08461506231317621,0.48056944198873935,0.8205782240893942,1.0
claude-haiku,True,8192,easy,4,0.6885747216928945,0.11843351036501262,0.5781413270637409,0.8677884615384616,1.0
claude-haiku,True,8192,hard,24,0.5836931299308635,0.0866722488957007,0.4513380972457474,0.8393177895885509,1.0
claude-haiku,True,8192,medium,30,0.6645203102886968,0.1015156711679784,0.5565977103954775,0.8410680301864482,1.0
claude-haiku,True,16384,easy,4,0.7389097352511987,0.11725854953507017,0.6625195924764891,0.8584958439897699,1.0
claude-haiku,True,16384,hard,24,0.637837441544915,0.12989926246395195,0.5132168138818509,0.8565690681340051,1.0
claude-haiku,True,16384,medium,30,0.7061809501798885,0.07474113443243166,0.6113197151381372,0.8457889369929981,1.0
gpt5-mini,True,4096,easy,4,0.7329184006067428,0.1383904451704614,0.7603513584117032,0.7097167487684728,1.0
gpt5-mini,True,4096,hard,24,0.5825633896318898,0.08111121371380824,0.4464437296246165,0.8446101088917045,1.0
gpt5-mini,True,4096,medium,30,0.6441818231021339,0.10336291699312376,0.565573696926632,0.7590563432228244,1.0
gpt5-mini,True,8192,easy,4,0.5951035781544256,0.4109088050704044,0.6293103448275862,0.5666666666666667,1.0
gpt5-mini,True,8192,hard,24,0.6547208772337467,0.07405351230429649,0.5158540684308738,0.9051544219562336,1.0
gpt5-mini,True,8192,medium,30,0.7194621167213722,0.07873383105649519,0.6445202296788035,0.823110781590383,1.0
gpt5-mini,True,16384,easy,4,0.7989038582258922,0.05477679917704944,0.8692855276907001,0.743279569892473,1.0
gpt5-mini,True,16384,hard,24,0.7230922545686923,0.06159178668672294,0.5912040883705836,0.9383509406400887,1.0
gpt5-mini,True,16384,medium,30,0.7868138248993367,0.07240777750962989,0.7265147485287335,0.866936617560494,1.0
