model_size,thinking,thinking_budget,difficulty_quartile,recall,num_words,mean_human_success_rate
claude-haiku,False,8192,Very Hard (Q4),0.11669128508124077,677,0.526349483013294
claude-haiku,False,12288,Very Easy (Q1),0.5228276877761414,679,0.945321796759941
claude-haiku,False,12288,Easy (Q2),0.39349112426035504,676,0.8695926035502959
claude-haiku,False,12288,Hard (Q3),0.26253687315634217,678,0.7583194690265486
claude-haiku,False,12288,Very Hard (Q4),0.1255539143279173,677,0.526349483013294
claude-haiku,False,16384,Very Easy (Q1),0.5640648011782032,679,0.945321796759941
claude-haiku,False,16384,Easy (Q2),0.3905325443786982,676,0.8695926035502959
claude-haiku,False,16384,Hard (Q3),0.26548672566371684,678,0.7583194690265486
claude-haiku,False,16384,Very Hard (Q4),0.11816838995568685,677,0.526349483013294
claude-haiku,True,4096,Very Easy (Q1),0.6848306332842415,679,0.945321796759941
claude-haiku,True,4096,Easy (Q2),0.522189349112426,676,0.8695926035502959
claude-haiku,True,4096,Hard (Q3),0.3864306784660767,678,0.7583194690265486
claude-haiku,True,4096,Very Hard (Q4),0.1935007385524372,677,0.526349483013294
claude-haiku,True,8192,Very Easy (Q1),0.7334315169366715,679,0.945321796759941
claude-haiku,True,8192,Easy (Q2),0.5784023668639053,676,0.8695926035502959
claude-haiku,True,8192,Hard (Q3),0.4616519174041298,678,0.7583194690265486
claude-haiku,True,8192,Very Hard (Q4),0.23042836041358936,677,0.526349483013294
claude-haiku,True,16384,Very Easy (Q1),0.7908689248895434,679,0.945321796759941
claude-haiku,True,16384,Easy (Q2),0.6849112426035503,676,0.8695926035502959
claude-haiku,True,16384,Hard (Q3),0.504424778761062,678,0.7583194690265486
claude-haiku,True,16384,Very Hard (Q4),0.258493353028065,677,0.526349483013294
gpt5-mini,True,4096,Very Easy (Q1),0.7437407952871871,679,0.945321796759941
gpt5-mini,True,4096,Easy (Q2),0.5636094674556213,676,0.8695926035502959
gpt5-mini,True,4096,Hard (Q3),0.44837758112094395,678,0.7583194690265486
gpt5-mini,True,4096,Very Hard (Q4),0.2658788774002954,677,0.526349483013294
gpt5-mini,True,8192,Very Easy (Q1),0.7893961708394698,679,0.945321796759941
gpt5-mini,True,8192,Easy (Q2),0.6553254437869822,676,0.8695926035502959
gpt5-mini,True,8192,Hard (Q3),0.5117994100294986,678,0.7583194690265486
gpt5-mini,True,8192,Very Hard (Q4),0.3353028064992615,677,0.526349483013294
gpt5-mini,True,16384,Very Easy (Q1),0.8836524300441826,679,0.945321796759941
gpt5-mini,True,16384,Easy (Q2),0.757396449704142,676,0.8695926035502959
gpt5-mini,True,16384,Hard (Q3),0.6194690265486725,678,0.7583194690265486
gpt5-mini,True,16384,Very Hard (Q4),0.3663220088626292,677,0.526349483013294
